initial,last,min
2.0768442,1.4891992,1.0594928
1.9763097,1.2696693,1.2683699
3.1094043,2.3359556,1.9519018
3.0163624,1.8565358,1.48145
2.035752,1.2580376,1.1122555
1.919255,1.635276,1.0678724
1.7551477,1.5041032,1.1863097
4.291867,3.0174062,2.8978508
2.3042607,1.3733981,1.3703672
1.2082089,0.87571436,0.8755939
1.932766,1.5383368,0.8691301
1.7574661,0.88989353,0.8689039
2.5188777,1.2698954,1.2698954
3.236292,1.8185464,1.8117055
2.4300554,1.5769285,1.5769285
3.7499132,2.2270718,1.9207501
2.4950566,2.4104464,1.2516483
2.1755438,1.5671635,1.2072577
3.2694578,2.1501966,1.7695621
1.9711473,1.0090017,1.002856
