initial,last,min
2.0375435,1.2491642,0.7991285
2.0175126,0.7508997,0.28540722
3.0585005,2.2525375,1.5961686
3.041545,2.1667318,1.7136109
2.0027597,1.68951,0.9624981
1.9066848,1.0960023,1.0960023
1.7573122,1.2534628,1.0033791
4.2843637,2.5634313,2.473058
2.291922,1.553436,1.2309856
1.1829435,0.95325226,0.7580987
1.9133849,1.2830116,1.0684795
1.7846246,1.1192814,1.0830925
2.652195,1.837903,1.4214368
3.1766038,2.0700788,1.9232488
2.3925076,1.5185353,1.2270713
3.679234,2.4269814,2.0854664
2.4792295,1.1907152,1.0516933
2.2078574,1.8631911,1.1691397
3.4764035,1.8933902,1.6961864
1.9403471,1.388054,1.1132153
