initial,last,min
1.9149059,0.05104557,0.027217554
1.7811779,0.2691545,0.09457276
2.5105398,1.2462816,1.0920732
3.2253354,1.7470428,1.7414483
2.3510017,1.7354368,1.4196717
3.7297359,0.14921352,0.14712556
2.4805055,0.8837183,0.88223326
2.1532028,1.0420735,0.965955
3.3296657,0.3358057,0.3358057
1.9589492,0.28873914,0.085291006
2.192951,1.1516852,0.7168661
1.8120552,0.14602406,0.106992275
2.0004964,0.97566783,0.97566783
2.0504932,0.22739173,0.07423132
1.9387423,0.12385029,0.12385029
1.7536126,0.60230213,0.5471247
1.9194264,0.15373479,0.06104015
1.2540708,0.020840589,0.013029848
1.3857149,0.16900828,0.1612334
2.1765819,0.9685231,0.96762455
