initial,last,min
1.9048189,0.8841438,0.7305474
1.7661413,0.8613343,0.8068281
2.4728951,1.0993098,1.0896435
3.2221444,1.6997002,1.6232089
2.423423,0.85199326,0.76713127
3.920936,1.6600696,0.27206707
2.472161,0.5086891,0.14353375
2.1798775,0.99583346,0.98914057
3.2280421,1.2836709,1.1666894
1.9645576,0.98829854,0.93973225
2.136753,1.123187,1.0060389
1.8264122,0.22316737,0.13470462
2.0495102,1.2944205,0.9908582
2.0301008,0.3822942,0.19308765
2.046508,0.24738042,0.11596681
1.7430547,0.6410678,0.03522894
1.9320663,0.13626231,0.030265654
1.273599,0.4769143,0.4769143
1.429679,0.25006574,0.24265054
2.2015738,1.4831654,1.0947721
