initial,last,min
2.0215943,0.30272067,0.27588743
1.947419,1.1301829,1.1213578
3.0069485,0.6244136,0.5315765
2.9423025,1.1833842,1.1833842
1.9932212,0.9346591,0.9184195
1.8762473,1.0285945,1.016735
1.704887,0.2211421,0.20783722
4.1945443,2.5683205,2.5561023
2.2700436,1.1079476,1.0996121
1.1715919,0.79099536,0.78047895
1.8852196,1.2777237,1.2693634
1.7371964,0.7814302,0.7620983
2.4363344,1.4115293,1.4029442
3.0562851,1.0441206,1.0107915
2.3913946,0.3006271,0.23523161
3.6208334,1.7921032,1.7883369
2.422211,1.2211183,1.2211183
2.1055756,1.1795591,1.170432
3.2558079,1.3533667,1.3533667
1.9283638,0.25699738,0.22221309
