initial,last,min
2.1613643,1.1068236,0.1549417
1.9217407,1.4010637,1.151645
3.1355174,1.3855033,1.3555355
3.0503013,1.9276334,1.6067379
2.0435078,1.4641052,1.128972
1.9211543,1.4214412,1.4214412
1.7757438,1.1138748,1.1138748
4.2270217,1.9893847,1.9856554
2.3453612,1.2935457,1.2676185
1.179209,0.8495553,0.773588
1.9084877,1.0979503,1.0032974
1.8046004,1.4032753,1.0605354
2.4526086,1.2671312,1.259165
3.244029,1.8095105,1.796239
2.4217408,1.5615307,1.336644
3.7434924,2.451839,1.4832274
2.4501083,1.0131289,0.99268144
2.084764,1.3172567,1.1147801
3.2811913,1.4420996,1.433034
1.9671568,1.0874485,0.87612075
