initial,last,min
2.0085044,0.87912935,0.8696789
1.9512552,1.0601726,1.0389552
3.0742455,1.6754503,1.6425538
2.9951997,1.3475378,1.3475378
1.9788678,0.7257159,0.72117615
1.8651774,0.5171831,0.49791682
1.7202421,0.9480714,0.89260435
4.128343,2.460862,2.4458063
2.2841322,0.7122462,0.6807061
1.1807374,0.86861885,0.85065913
1.8608639,1.1752195,1.1752195
1.7499514,1.1214923,1.0437573
2.4236836,1.2235453,1.2112601
3.1032362,1.560951,1.5320121
2.3717582,0.6672579,0.6559434
3.615226,1.4451184,1.4451184
2.448853,1.3919517,1.3502786
2.0806735,0.52648675,0.4968598
3.231227,1.7050185,1.6741304
1.8856426,0.36670655,0.32021084
