initial,last,min
1.4508655,0.369693,0.369693
2.8671043,0.039496206,0.029417317
1.8258315,0.06173126,0.058648467
1.5705274,0.7953767,0.7953767
2.0301962,1.1157115,1.1079247
1.9698945,0.97959054,0.9590926
2.0792387,0.87976307,0.8749223
2.0403233,0.9240197,0.90744853
1.9816982,0.023998909,0.018044341
1.4434276,0.06332166,0.06332166
1.9541382,1.0549597,1.0488148
2.562851,1.4670966,1.4463035
1.8439486,0.5024613,0.50140506
2.4971015,0.1295064,0.12798533
1.9167771,0.27264342,0.26456514
1.4693769,0.056514718,0.053561118
2.5376887,0.61775917,0.5847038
1.6603849,0.07865974,0.06800723
3.0620022,1.2443622,1.2443622
1.6605263,0.046054136,0.046054136
1.6336632,0.67550546,0.6621709
1.870831,1.1114602,1.0833926
1.5786926,0.39259046,0.38864464
2.844374,1.5407099,1.5407099
2.0933015,0.271013,0.25951305
2.9068825,1.4324461,1.4211348
1.7474759,0.8270088,0.8088271
2.7614272,0.25016192,0.2383313
1.6214446,0.11928831,0.10341803
1.7019832,0.72533786,0.72533786
1.9806689,0.15186916,0.14470938
2.4671676,1.0555394,1.0555394
1.8276706,0.1288329,0.12119074
5.142174,1.3427092,1.3183615
3.0518339,1.1791433,1.1791433
2.0827584,0.08058986,0.07969694
1.9712405,0.8358342,0.8171565
2.3924441,0.21739726,0.17233521
2.6061368,0.19811457,0.18502991
1.9333748,0.8750115,0.8692379
1.7536281,0.7281024,0.7127466
2.121124,1.2826343,1.2718337
2.108064,0.057654697,0.055702746
1.7389755,0.113910034,0.10689694
1.8716022,0.05904669,0.05316114
2.4248822,0.77050954,0.70122457
2.721352,1.3684328,1.3392019
2.174214,0.07243334,0.06519079
4.1145535,0.14053605,0.14053605
2.4294558,0.8044962,0.7807602
