initial,last,min
1.4211028,0.6932084,0.6724654
2.7939522,0.26803827,0.24022274
1.7975845,0.8248413,0.77167225
1.5730733,0.25743148,0.24953616
1.999265,0.037505344,0.033776704
1.9825267,1.1407075,1.108818
2.0792387,0.8640611,0.84990036
2.0351331,0.9737588,0.9539507
1.9742373,0.13155702,0.11550709
1.4727215,0.06931468,0.061872926
1.9158871,0.16560282,0.14519008
2.5554516,1.1772621,1.1338092
1.8439486,0.15181318,0.13867296
2.4474301,0.063122846,0.058412604
1.891996,1.2470185,1.2470185
1.5301965,0.023180638,0.021828467
2.5147471,1.3322885,1.3245237
1.6645149,0.045298543,0.040142994
3.092659,0.030851062,0.025645714
1.7020352,0.022159329,0.018444434
1.612677,0.7649935,0.75816816
1.8705295,0.69334996,0.6842269
1.560285,0.06788345,0.06255618
2.8755763,0.5916228,0.5916228
2.0668266,0.31475163,0.28952345
2.9280467,1.6317936,1.5959563
1.7845515,1.0707,1.0314606
2.8223953,0.19417167,0.17934257
1.6527392,0.93708295,0.93395
1.6876156,0.32268542,0.31891483
1.9353169,0.09652058,0.08738206
2.4440312,1.3411773,1.3031716
1.8069795,0.054138932,0.04567146
5.143258,2.2626019,2.2626019
3.0461144,0.996917,0.9799999
2.0646698,0.9174523,0.7223885
2.245501,0.72766834,0.7120924
2.3250968,0.20569576,0.16169308
2.6201274,0.16767909,0.14944272
1.9860164,1.2906238,1.2853903
1.7405548,0.935397,0.9123651
2.1342294,1.1951545,1.1641333
2.1232927,0.13074116,0.12091245
1.7443066,0.884792,0.8652139
1.8623426,0.22234336,0.22234336
2.472701,0.96353495,0.943754
2.7235076,0.2948008,0.25564215
2.2143857,0.2010137,0.18107931
4.222394,1.6485901,1.6241935
2.4308636,1.298125,1.2918534
