initial,last,min
1.4423331,0.5401012,0.53825605
2.8463566,0.020850608,0.019280452
1.8201817,0.570529,0.54845804
1.5699708,0.3239907,0.30782104
2.0328074,0.049050845,0.04339591
1.9842697,0.029167641,0.024595777
2.1299982,0.99677217,0.9884531
2.0338304,1.0225966,1.0120883
1.969519,0.23400387,0.21845815
1.4948149,0.039437186,0.03644525
1.9296292,0.085220076,0.085220076
2.5723417,1.3537214,1.3170375
1.8619306,0.14756596,0.13834383
2.4953473,0.14335643,0.12358288
1.8216588,0.8696751,0.85974956
1.5313054,0.017881164,0.016033893
2.4596505,0.06582157,0.061159443
1.6663619,0.21190503,0.20608877
3.0496328,0.058543082,0.04654456
1.6802309,0.10535055,0.10125721
1.641508,0.030642772,0.026607946
1.888145,0.30662262,0.28574994
1.560285,0.24733342,0.24252309
2.8687208,1.1604847,1.1604847
2.08829,1.0505434,0.98070544
2.851143,1.9037728,1.8991233
1.7680961,0.44817263,0.44067007
2.840501,1.8597004,1.4772611
1.6430509,0.05857721,0.05857721
1.7106583,0.4007424,0.35376507
2.019093,0.090607285,0.08812092
2.456013,1.0909668,1.0861152
1.8186449,0.066773005,0.064464934
5.163522,1.978414,1.9308337
3.0474367,1.3397259,1.3397259
2.0948117,0.03682025,0.033518862
2.2073088,0.85109234,0.8326831
2.3208601,0.09333501,0.081179604
2.6112473,1.492611,1.485901
1.9833463,1.2524303,1.178294
1.7162904,0.8160511,0.8160511
2.1146178,0.10568639,0.10568639
2.0758705,0.1212994,0.10942418
1.7021393,0.746445,0.713535
1.8847733,0.023468282,0.021264559
2.4651456,0.11136449,0.10058404
2.7251368,0.6266865,0.58294433
2.2114012,0.044318058,0.041084055
4.209926,2.3299599,2.272568
2.426835,1.2989403,1.2923642
