initial,last,min
1.4435661,0.5324852,0.5223833
2.862422,0.08626083,0.08161375
1.846138,0.64494646,0.64494646
1.5655378,0.21453865,0.21038418
2.0489006,0.02837712,0.025203645
1.9987001,0.29078338,0.26828027
2.1296687,1.0706646,0.99860513
2.0399926,0.051085703,0.047364768
1.9698504,0.15479943,0.13831347
1.4727215,0.015436011,0.0152621865
1.9381478,0.64316875,0.6314746
2.5558853,0.021708988,0.01994218
1.8069483,0.0378732,0.034700084
2.4971015,0.3110852,0.3110852
1.8417443,0.8228294,0.8040784
1.4497212,0.014259326,0.012358705
2.5187068,1.034231,0.98325545
1.6526814,0.0903059,0.084639534
3.0597043,1.6857779,1.6800357
1.6472249,0.05993808,0.049134225
1.605305,0.79376066,0.7830329
1.8717065,1.1132249,1.1070076
1.6230378,0.7167207,0.70803493
2.8503523,1.5174215,1.5174215
2.0839117,0.19367856,0.18647146
2.9262369,1.4423336,1.432151
1.76748,0.4264068,0.4264068
2.8350039,0.1486079,0.14762262
1.6229517,0.06807335,0.06630249
1.676339,0.3447078,0.33419058
2.0000033,0.95739794,0.93177396
2.4730594,1.0265301,1.0265301
1.8127533,0.089781046,0.08501525
5.143258,2.0342612,2.0342612
3.060598,1.2695963,1.2452232
2.0777357,0.096000515,0.09029683
2.2363434,0.8543956,0.852441
2.260754,0.13458557,0.12008955
2.6014848,1.0117632,1.0117632
1.9852064,0.08405461,0.07302016
1.7525276,0.64348084,0.63681936
2.071874,0.25649786,0.24986373
2.0967958,0.0377788,0.0377788
1.7389755,0.07261916,0.061886173
1.8807408,0.9847485,0.9549539
2.4677548,0.6076632,0.5802267
2.721352,0.6952812,0.6552614
2.1854868,0.9468817,0.9468817
4.222394,1.9216658,1.9216658
2.384249,0.4058836,0.39431655
