initial,last,min
1.8484013,0.9697198,0.9545178
1.6765351,0.74572337,0.74159306
2.411422,0.7630051,0.75709915
3.0343728,1.5074812,1.4845269
2.3680007,1.0545022,1.0395174
3.6235714,1.0474102,0.8578849
2.3879194,0.9808175,0.9691982
2.0557642,0.47142398,0.4573859
3.1489928,0.8494004,0.84900385
1.8586257,0.051885232,0.051885232
2.022075,0.082733914,0.08085431
1.7917033,0.058188584,0.047100898
1.9288025,0.8688789,0.8463609
1.9153054,0.04381809,0.041248716
1.8310437,0.10225215,0.09156557
1.6907679,0.06073732,0.057485063
1.8567768,0.025651744,0.019889403
1.2210826,0.03394365,0.03394365
1.3808732,0.06950124,0.06464974
2.0836184,1.0620577,1.0620577
