initial,last,min
1.9765145,0.087083146,0.07838206
1.9156655,1.0972471,1.0799236
2.9204717,0.25695604,0.20790802
2.9396713,1.0450323,1.0341376
1.9515196,0.6098686,0.6098686
1.8394252,1.2888123,1.2701797
1.6594192,0.6676765,0.6616716
4.1425204,1.9939123,1.8986177
2.2027168,0.13499746,0.12346676
1.1563668,0.026579263,0.024924565
1.8337234,1.2202561,1.2176378
1.7257644,0.65534633,0.64209723
2.4287915,0.09832357,0.06783337
3.0534203,1.8817506,1.858931
2.3638237,1.4925417,1.4532692
3.6386228,0.42744023,0.40875012
2.4008636,0.9503029,0.93351555
2.0567613,0.98128396,0.9625346
3.2027388,0.11924615,0.10772898
1.8726915,0.15501316,0.15501316
