initial,last,min
2.008272,0.23001428,0.15030827
1.87874,0.14761156,0.13675793
2.893301,0.08784707,0.05218133
2.9156494,0.8566028,0.83173406
1.9208488,0.37748528,0.37682834
1.8601108,0.85924995,0.8251739
1.6966368,0.85841984,0.8356727
4.12247,1.4340159,1.4270718
2.2239301,0.11398707,0.05802347
1.149757,0.46389896,0.46389896
1.8356651,0.87256825,0.86249673
1.7255613,0.7012476,0.68955845
2.4152038,0.76281714,0.75828433
3.0693595,0.4139998,0.4075105
2.3682907,0.089753225,0.08889032
3.6360807,1.5357243,1.5357243
2.3824537,0.34671924,0.34671924
2.034182,1.0837392,1.075914
3.2170942,1.571947,1.5054566
1.8674513,0.20531611,0.1759711
