initial,last,min
1.9456908,0.20728965,0.20146322
1.9094652,0.074999295,0.074999295
2.845372,1.2972524,1.2972524
2.9668622,0.6721216,0.6721216
1.9609479,0.98323154,0.98323154
1.8377454,0.99590343,0.97906065
1.6302583,0.5590401,0.55853426
4.1068707,1.2257632,1.2196596
2.2587783,1.0854897,1.0704625
1.1671636,0.4850703,0.45620364
1.84778,0.22853914,0.19258313
1.7418032,0.9305055,0.92250496
2.4043925,0.6987681,0.68067527
3.057605,1.5442191,1.5113041
2.3677042,0.26765266,0.18419261
3.6135335,0.34239843,0.2893487
2.3712497,1.031711,1.027584
2.0628266,1.1902593,1.1675031
3.2236447,0.13853991,0.13853991
1.8435198,0.14498658,0.12802657
