initial,last,min
1.9932401,0.07863722,0.07570837
1.9137094,0.5615193,0.5404172
2.9163103,0.10494697,0.09004029
2.9156494,0.099050045,0.089552365
1.9396538,1.0403836,1.0261233
1.8590722,1.0681317,1.0483668
1.6921352,0.033090007,0.028173035
4.1068707,1.4672062,1.4430751
2.2312698,0.13465561,0.10656891
1.149757,0.7880379,0.78605115
1.834522,0.11522198,0.107260615
1.7027605,0.7400994,0.7183141
2.3970423,1.0395668,1.0209112
3.0593224,0.8309827,0.82848626
2.3504295,1.0712537,1.0682695
3.5923724,0.2940887,0.2940887
2.380676,1.1664197,1.1431963
2.0189495,0.9306222,0.76074266
3.2249746,1.2702903,1.2406216
1.8462385,0.9429467,0.94090855
