initial,last,min
1.9939861,0.06747824,0.06747824
1.9358641,0.38293755,0.38153854
2.9590914,0.5944666,0.57044476
2.9480083,0.23293626,0.23293626
1.969994,0.98865426,0.9810544
1.8487998,0.42326918,0.395554
1.6938411,0.6985552,0.6985552
4.1600184,2.0917928,2.0730283
2.2839391,0.16316816,0.16316816
1.1631804,0.009961856,0.008774768
1.8516666,0.81689256,0.80057293
1.7207901,0.53578603,0.5032013
2.4152038,1.0526737,1.0395703
3.0803819,1.9524726,1.9524726
2.3644824,1.0954201,1.091798
3.6135335,1.4799136,1.4655428
2.3879194,0.7643341,0.7601315
2.0929782,0.9592568,0.9505977
3.1489928,1.2180995,1.2037195
1.8462385,0.6408379,0.6344014
