initial,last,min
2.0012581,0.1405812,0.059788253
1.9311117,1.0799786,0.97414094
2.8996565,1.734262,1.3867943
2.9165447,1.387501,1.2772743
1.9603165,0.96872395,0.96872395
1.8487998,0.8099625,0.7517278
1.7048519,0.286045,0.28078535
4.161245,1.9320272,1.9320272
2.2422833,0.43740588,0.19843082
1.1669594,0.8433513,0.57872766
1.8537078,0.1753288,0.16767058
1.7417216,0.77197224,0.51626885
2.4202302,0.13658546,0.11776208
3.1125162,2.0990932,1.8111937
2.3677042,1.3072246,0.92176545
3.6401145,0.1785015,0.15932105
2.3840473,0.9294016,0.91819584
2.0338354,1.45618,0.96525717
3.2052584,0.30853263,0.108822815
1.8799416,0.78776634,0.58821
