initial,last,min
1.9456908,0.05820091,0.032233346
1.9167222,0.22890899,0.07753403
2.9087813,0.52685314,0.43109366
2.8956063,0.7524449,0.73734784
1.9708,0.86796296,0.8431053
1.8661016,0.6864057,0.5950304
1.695718,0.29000074,0.2291891
4.1502414,2.9476755,2.2216215
2.2454011,0.20213188,0.07442476
1.1664008,0.1702529,0.16345693
1.8480909,1.0420264,1.0420264
1.7115932,1.4168342,0.61215615
2.4178703,0.75843704,0.7540745
3.057605,1.9303598,1.8848696
2.3800788,1.8837109,1.5385238
3.6197355,0.34957704,0.16737324
2.393653,1.4751657,1.4575129
2.0567613,0.1353759,0.1353759
3.2051783,1.4372182,1.4184309
1.8753436,0.62635916,0.20535176
