initial,last,min
2.001164,0.0452966,0.03540056
1.926966,0.73030096,0.7280391
2.9255223,0.4502631,0.4341112
2.9302511,1.3214753,1.317041
1.986968,0.20429416,0.20429416
1.8559734,0.54963624,0.5324003
1.6928649,0.027669562,0.025961515
4.115177,2.279363,2.2612143
2.225287,1.0596071,1.0492582
1.1624571,0.7521297,0.75174046
1.8514017,0.99197567,0.97916365
1.7157242,0.8847299,0.8729858
2.4349287,0.6288775,0.5879736
3.073287,1.790155,1.7700837
2.3315284,0.17679575,0.15191905
3.58226,1.7202548,1.708616
2.412399,0.901423,0.83494824
2.075391,0.16020128,0.15510233
3.2061276,1.3082929,1.3039682
1.8657843,0.218317,0.20853868
