initial,last,min
2.0034537,0.073646955,0.068334855
1.9167222,0.04451836,0.04014758
2.8990424,0.3399355,0.24599838
2.9485133,0.8658348,0.8658348
1.9835367,0.80511963,0.784282
1.8553271,1.0108901,1.0108901
1.6964152,1.1490301,1.1392839
4.1248274,2.1132782,2.0480552
2.259513,1.0727104,1.0353229
1.165201,0.7324424,0.7258408
1.8503681,0.06417312,0.044892304
1.737322,0.599484,0.5961174
2.417836,1.0303311,0.99167216
3.0556767,1.8764424,1.8589972
2.383124,0.12985496,0.12814134
3.6123502,1.2963717,1.2727461
2.4079366,1.0283883,1.0147865
2.086554,0.04449643,0.041031137
3.2079067,0.23468469,0.2317786
1.891734,0.24204373,0.22163215
