initial,last,min
1.9727285,0.05437925,0.05268338
1.87874,0.8360203,0.8068884
2.8855152,0.38289905,0.3669573
2.9347117,0.70771056,0.6976826
1.9692032,0.8002718,0.7918866
1.8457856,0.55047697,0.55047697
1.6483421,0.068606876,0.064876854
4.119941,1.1763315,1.1574734
2.2178254,0.14031819,0.12407225
1.1669594,0.6932023,0.6823809
1.8434436,0.84550273,0.79492235
1.7081441,0.76948756,0.7520004
2.4195766,1.0407574,1.0294206
3.0593224,0.37977433,0.37190828
2.366205,0.12828235,0.08439113
3.6123502,1.6731906,1.6731906
2.3822389,0.47122604,0.46806055
2.075391,0.11163014,0.10298752
3.204833,1.2990226,1.2936692
1.8984061,0.015616377,0.01394707
