initial,last,min
2.0062726,0.04294266,0.04153669
1.903308,0.31726176,0.3014115
3.0141418,1.3310236,1.291966
2.924506,1.159393,1.139218
1.9515196,0.90750915,0.90703267
1.8487998,0.44982094,0.44151333
1.7112007,0.96284986,0.94231975
4.115177,1.806488,1.7757725
2.242414,0.33763534,0.33763534
1.1721706,0.69018835,0.68602854
1.8356651,0.16256082,0.14621378
1.7228483,0.8735767,0.8735767
2.393225,1.1590592,1.1560564
3.0228894,1.608999,1.6000961
2.3787227,0.2764287,0.2764287
3.6318524,0.55792993,0.5053026
2.3955488,0.34463736,0.3355699
2.0628266,0.17812215,0.1577248
3.2218237,0.19200444,0.19200444
1.8592913,0.5705762,0.55879587
