initial,last,min
1.9834785,0.08176336,0.07373891
1.9173982,0.12905766,0.11207877
2.9375117,0.57744485,0.5770248
2.9470575,0.9736677,0.96908736
1.9579258,0.6382938,0.63537455
1.8610758,1.2896646,1.2709575
1.7155172,0.26397094,0.21864831
4.1368046,1.1024817,1.0572658
2.2100585,0.21145904,0.19969149
1.1604835,0.6785941,0.6785941
1.8545948,0.077193536,0.071041726
1.7287502,0.07027285,0.06500343
2.4333093,1.2754306,1.233951
3.0798118,1.9902313,1.951109
2.3644824,0.5824151,0.5690705
3.6110811,1.3565358,1.3379911
2.3698812,0.9280823,0.8433194
2.0557642,0.19640271,0.18372549
3.2061276,0.40976536,0.40232173
1.906677,0.09421216,0.08460571
