initial,last,min
2.0050557,0.1440491,0.13003688
1.8869936,1.2110069,0.9223777
2.9669478,1.1896421,0.76456773
2.9852648,1.2449409,1.2414904
1.9686831,1.0330067,0.8493773
1.8723766,0.64768827,0.64768827
1.6966368,0.814521,0.814521
4.1397643,1.9949312,1.5630506
2.2632108,1.3044479,1.2557833
1.1781363,0.08863149,0.048510596
1.8484013,1.6300676,0.16438363
1.7243274,0.980558,0.9365515
2.4153502,0.23023547,0.23023547
3.0693595,1.9658588,1.6318274
2.3398526,1.1444485,1.1135606
3.6382923,0.3572037,0.3407031
2.405284,1.2868009,1.0033373
2.0782511,0.9070109,0.77951413
3.2271607,0.57527286,0.42507884
1.8561959,0.6355006,0.19569364
