initial,last,min
2.0068893,0.056187324,0.05099487
1.9139208,0.95367557,0.94123375
2.8722754,0.43546465,0.43546465
2.9302511,0.95830685,0.9387836
1.9672791,0.9566785,0.9056365
1.8587629,0.73149484,0.71701306
1.6966368,0.8604195,0.8496773
4.146238,1.790651,1.7514162
2.2153866,0.44284937,0.42534423
1.1681576,0.020692488,0.020692488
1.8432318,0.14311886,0.13961682
1.7290499,0.14869207,0.1360175
2.3651206,1.0696148,1.0471919
3.0579956,1.7528332,1.7276629
2.3699358,0.2042913,0.20408183
3.634818,1.4752804,1.4497
2.4037685,0.97866553,0.97866553
2.0782511,0.49879652,0.49879652
3.234996,1.2644811,1.2348216
1.8594679,1.1144074,1.0997835
