initial,last,min
1.9939861,0.061803136,0.030465206
1.9173982,1.0859076,1.062778
2.9087813,1.3915784,1.246086
2.957711,0.34282225,0.34282225
1.9860553,0.87101364,0.7517751
1.8625444,1.1469157,1.0729244
1.6985438,0.22675529,0.19681174
4.156837,1.4199148,1.1767972
2.2706556,0.54285103,0.3119553
1.1534158,0.09282271,0.09282271
1.8356651,0.2568907,0.17412291
1.7294575,1.0030748,0.96533525
2.411713,1.2614312,0.85826373
3.0838988,2.332401,1.8635051
2.367414,0.886637,0.8197582
3.6115398,0.68188643,0.6671329
2.4074686,0.92100394,0.92100394
2.0740383,1.1221217,0.7470216
3.207562,1.4331251,1.2737635
1.8924885,0.48771754,0.16956171
