initial,last,min
1.9456908,0.05795751,0.050702315
1.9159216,0.10695273,0.09538989
2.8855152,1.0644279,1.0644279
2.8831038,0.4162961,0.39702815
1.9396538,0.7853591,0.7641038
1.8475074,0.8591164,0.83887225
1.6938411,0.8903986,0.81687564
4.1257105,2.006926,1.931013
2.2013278,0.040046815,0.037464317
1.1590208,0.026591092,0.024252165
1.8577986,0.026088115,0.025506722
1.7274761,0.8563397,0.8395999
2.413382,0.0266237,0.02552196
3.0228894,1.6424239,1.6398172
2.3682904,0.6875909,0.62908137
3.6218576,0.86360276,0.86360276
2.3840473,0.21911609,0.19290926
2.0868647,0.050231945,0.044684388
3.2040694,0.12757984,0.12757984
1.8435198,0.13131115,0.09998363
