initial,last,min
1.9727285,0.29323447,0.2616646
1.9094652,0.50783736,0.47462925
2.8846083,0.09302285,0.08001233
2.9103582,0.1974517,0.1974517
1.9784173,0.3144367,0.3066538
1.8477218,0.97475594,0.9695941
1.668815,0.6172771,0.61034054
4.1238294,1.7461375,1.7455152
2.2178254,0.08118998,0.07161152
1.1598337,0.10132484,0.0892938
1.8180964,0.11676091,0.0825701
1.6731244,0.590264,0.5722935
2.4153502,0.035188172,0.030036177
3.082672,1.4775914,1.1409215
2.3428314,1.058503,1.0580237
3.6115398,0.06491715,0.06491715
2.4086778,0.8863654,0.8784618
2.0873222,0.09445304,0.09359929
3.2028909,0.09262489,0.075993255
1.8562135,0.8060857,0.8047786
