initial,last,min
1.9456908,0.14280729,0.06751961
1.9144713,1.2070334,1.0963395
3.0257986,1.4236927,1.4180013
2.914857,1.5872974,0.37742975
1.979434,0.97823495,0.973007
1.8487998,1.181123,0.8965198
1.7059236,0.7913017,0.7825792
4.0968537,1.4408087,1.4408087
2.2704735,1.2958958,1.1311684
1.1599035,0.29813588,0.14661156
1.8180964,0.26799753,0.16649829
1.7294575,0.9643579,0.9018759
2.411713,1.3848107,1.2275149
3.0990744,2.0736294,1.8763189
2.3653028,1.2596651,1.2163341
3.6156933,0.4362025,0.15920603
2.3889987,0.963964,0.9312612
2.0338354,1.227753,1.2200327
3.2146842,1.4500833,1.2487458
1.8617151,1.3870126,1.2980696
