initial,last,min
2.0007477,0.08298477,0.08135615
1.9265022,0.99807084,0.9584175
2.8855152,1.4214468,1.404484
2.9517055,0.8259744,0.81664616
1.980359,0.7654321,0.74943715
1.8524227,0.280838,0.2681126
1.7035944,0.13236775,0.11087567
4.148049,1.128508,1.0671043
2.242414,0.29314622,0.24915642
1.1604835,0.12893505,0.1212077
1.8405949,0.18515082,0.18030356
1.6929318,0.09427548,0.0926142
2.4193208,0.15946738,0.15946738
3.0469403,1.8696356,1.8483087
2.371758,0.38902572,0.38902572
3.5204852,0.17735773,0.14523932
2.3979383,1.0093224,1.0093224
2.069399,0.6050057,0.6050057
3.204961,0.37934864,0.3640042
1.8799416,0.15941529,0.13776799
