initial,last,min
1.9826107,0.090702154,0.0892204
1.9216398,0.70446616,0.7015874
2.9255223,0.16375859,0.14423124
2.909652,0.77421993,0.77421993
1.9623677,0.8358284,0.8358284
1.8613127,0.41326892,0.38069034
1.7068391,0.021675577,0.017698135
4.1614885,1.763756,1.7479199
2.2361565,0.8159376,0.81340355
1.1742576,0.08841267,0.086000696
1.8386074,1.0130256,1.0130256
1.7035606,0.8530308,0.84839666
2.4001434,0.18464878,0.1837259
3.0556767,0.6808397,0.673893
2.3669097,0.14865056,0.1459738
3.6318524,1.284063,1.2595596
2.395759,0.9010935,0.9010935
2.0757334,1.1063987,0.78885627
3.20383,1.3416748,1.3116173
1.8857144,1.2683133,1.2609552
