initial,last,min
1.9957539,0.20653278,0.046185274
1.9186959,0.07050352,0.042258494
2.9104776,0.99278605,0.99278605
2.935067,1.2781866,1.2680538
1.9816296,0.85528487,0.85528487
1.8477218,0.8913031,0.8913031
1.7059236,0.18540324,0.093643166
4.1287637,2.4953141,2.324623
2.2391999,1.2441777,1.0403044
1.1742576,0.13569124,0.029858394
1.844411,0.60875463,0.6027217
1.7136914,1.0162296,0.8652791
2.417535,0.3881178,0.10321211
3.0843225,2.0570624,1.9118161
2.3621042,0.24547186,0.23780699
3.5923724,0.32100555,0.30346492
2.3840473,1.4202436,1.2627683
2.0874257,0.2143218,0.2143218
3.2264936,0.41481364,0.23358928
1.8811417,0.19011778,0.19011778
