initial,last,min
1.990394,0.2149441,0.0319462
1.9094652,1.1143997,0.9673123
2.8939958,0.31834713,0.23615758
2.9165447,1.1027455,0.7612547
1.9549071,0.5093477,0.27443328
1.8599106,0.9301938,0.92858434
1.6950716,0.5903079,0.5773069
4.1238294,1.9501715,1.6449369
2.2386177,1.7730156,1.082402
1.1563668,0.09253659,0.09253659
1.8385217,0.456528,0.081979804
1.7027605,0.06747581,0.06140427
2.4125965,1.0192083,0.8144431
3.0728185,0.47827092,0.32878342
2.3398526,0.16500674,0.11997606
3.5976367,0.2642118,0.08992362
2.4030387,0.77778774,0.77778774
2.065809,1.4335698,0.9430157
3.2037308,1.0164956,0.9414014
1.8753436,0.069049746,0.057260633
