initial,last,min
1.9834785,0.29569837,0.2898187
1.9045868,1.2532083,0.8618763
2.9214435,1.28505,1.23701
2.9411213,1.4067031,1.1530769
1.9668268,0.8397679,0.8397679
1.8729692,0.8591957,0.8591957
1.7026311,0.8962093,0.85240257
4.129817,2.0252159,2.005189
2.2250752,1.4394153,1.1372223
1.165201,0.31211045,0.09349354
1.846464,0.29523104,0.12998208
1.7401875,1.0475008,0.7623556
2.4043925,1.0741818,1.0505146
3.0733562,1.88073,1.804611
2.364842,1.3444349,0.9334217
3.6233628,1.1953614,1.1908374
2.380676,1.1706858,0.8181915
2.0887876,1.4931717,0.9341972
3.2072916,0.20081605,0.034551732
1.8940029,0.32258725,0.32258725
