initial,last,min
2.0087368,0.96528786,0.96528786
1.9337167,1.1264943,0.9617957
2.8882864,0.2391544,0.2391544
2.8831038,0.36444196,0.36444196
1.9782492,1.0930178,1.0035107
1.856508,1.1201285,1.0130886
1.6576233,0.23675936,0.23675936
4.1493735,2.8130898,1.817231
2.2414176,1.1231669,0.30596775
1.1628293,0.22176732,0.1597855
1.8561116,0.26576474,0.2611682
1.7136914,0.97652847,0.9627651
2.4257839,0.049466845,0.049466845
3.0534203,1.974848,1.9064984
2.373327,1.1797173,1.1478637
3.6156933,2.056131,0.5205971
2.3988283,0.98234636,0.96494573
2.0557642,0.2721126,0.16502586
3.2099745,1.6985587,1.2330981
1.8920647,0.5581401,0.16740598
